gene,log2.fold_change.,value_1,value_2,locus,sample_1,sample_2,status,test_stat,p_value,q_value,significant,fpkm5,fpkm10
Ckb,1.84458,23.7111,85.1577,chr12:111669354-111672338,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.64971,5.00E-05,0.000250321,yes,2,2
Slc16a1,1.82791,5.57543,19.7941,chr3:104638663-104658462,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.73745,5.00E-05,0.000250321,yes,2,1
Cd81,1.82274,46.1942,163.413,chr7:143021783-143067930,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.77295,5.00E-05,0.000250321,yes,2,2
Vat1,1.81456,34.0505,119.773,chr11:101458747-101466199,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.82686,5.00E-05,0.000250321,yes,2,2
Sash1,1.80096,3.8647,13.4667,chr10:8722218-8886070,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.44642,5.00E-05,0.000250321,yes,1,1
Ms4a3,1.80065,107.219,373.526,chr19:11629498-11640851,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.6714,5.00E-05,0.000250321,yes,2,2
Vegfb,1.79045,7.80904,27.0133,chr19:6982471-6987651,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.57838,5.00E-05,0.000250321,yes,2,1
Bcl2a1b,1.78394,10.0406,34.5765,chr9:89199272-89207838,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.34159,5.00E-05,0.000250321,yes,2,2
Nkg7,1.77593,66.2933,227.027,chr7:43437137-43438246,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.77327,5.00E-05,0.000250321,yes,2,2
Pecr,1.77235,2.95565,10.0968,chr1:72259172-72284314,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.47659,5.00E-05,0.000250321,yes,1,1
Pla2g12a,1.76705,3.60687,12.2762,chr3:129878605-129895825,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.9588,5.00E-05,0.000250321,yes,1,1
Tfrc,1.75939,10.5448,35.7002,chr16:32608895-32632794,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.74591,5.00E-05,0.000250321,yes,2,2
Cd83,1.75139,9.04707,30.4599,chr13:43785111-43803133,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.10807,5.00E-05,0.000250321,yes,2,1
Clec4b1,1.74782,7.24505,24.3325,chr6:123049961-123071555,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.82986,5.00E-05,0.000250321,yes,2,1
Mgl2,1.74376,11.4468,38.3363,chr11:70130356-70137542,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.02557,5.00E-05,0.000250321,yes,2,2
Igll1,1.71995,5.84266,19.2471,chr16:16860670-16863985,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.66313,5.00E-05,0.000250321,yes,2,1
Cpq,1.71196,11.4652,37.5606,chr15:33083128-33653436,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.07226,5.00E-05,0.000250321,yes,2,2
Cfp,1.70573,102.282,333.636,chrX:20925534-20931524,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.48351,5.00E-05,0.000250321,yes,2,2
Lmbrd2,1.69766,3.66713,11.8952,chr15:9111981-9197450,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.8166,5.00E-05,0.000250321,yes,1,1
Myo9a,1.69229,3.8315,12.3822,chr9:59751173-59928866,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.27619,5.00E-05,0.000250321,yes,1,1
Ifrd2,1.69095,10.1153,32.6591,chr9:107587717-107593038,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.05818,5.00E-05,0.000250321,yes,2,2
Smagp,1.68805,4.4928,14.4768,chr15:100621339-100636940,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.34414,5.00E-05,0.000250321,yes,1,1
Tspan3,1.66924,10.2546,32.6144,chr9:56135883-56161070,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.77366,5.00E-05,0.000250321,yes,2,2
Itgb5,1.6439,20.8564,65.178,chr16:33829664-33949338,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.87875,5.00E-05,0.000250321,yes,2,2
Vav2,1.64215,7.97173,24.8823,chr2:27263634-27426825,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.89478,5.00E-05,0.000250321,yes,2,1
Prnp,1.64047,14.1242,44.0348,chr2:131909927-131956131,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.23703,5.00E-05,0.000250321,yes,2,2
Hbb-b2,1.63565,24.289,75.4729,chr7:103812523-103813923,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.71177,5.00E-05,0.000250321,yes,2,2
Gna12,1.63372,30.2903,93.9943,chr5:140759943-140830431,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.18963,5.00E-05,0.000250321,yes,2,2
Mthfd1,1.62002,11.791,36.2429,chr12:76255231-76319820,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.15417,5.00E-05,0.000250321,yes,2,2
"Hba-a1,Hba-a2",1.61616,97.3082,298.307,chr11:32296488-32297310,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.26603,5.00E-05,0.000250321,yes,2,2
Snx25,1.61537,6.68811,20.4917,chr8:46033260-46124146,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.61053,5.00E-05,0.000250321,yes,2,1
Ctsb,1.61347,250.627,766.888,chr14:63122461-63179578,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,2.86153,0.00015,0.000694607,yes,2,2
Slc29a1,1.60489,21.1609,64.3655,chr17:45585199-45599603,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.04241,5.00E-05,0.000250321,yes,2,2
Slc48a1,1.59832,45.4781,137.703,chr15:97784364-97844502,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.3198,5.00E-05,0.000250321,yes,2,2
Hist1h2bc,1.56043,9.08495,26.7953,chr13:23684198-23692480,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.39591,5.00E-05,0.000250321,yes,2,1
Stard10,1.53237,8.79123,25.4295,chr7:101321318-101346312,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.84608,5.00E-05,0.000250321,yes,2,1
"Hbb-b1,Hbb-bs",1.52134,129.518,371.791,chr7:103826522-103827929,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.71702,5.00E-05,0.000250321,yes,2,2
Fth1,1.51682,821.752,2351.52,chr19:9980599-9985111,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.68269,5.00E-05,0.000250321,yes,2,2
Marcks,1.51214,26.6342,75.9692,chr10:37133242-37138926,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.54319,5.00E-05,0.000250321,yes,2,2
Fads1,1.50538,6.27772,17.8225,chr19:10182887-10196872,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.38293,5.00E-05,0.000250321,yes,2,1
Ctse,1.50187,8.76261,24.8165,chr1:131638313-131675507,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.28774,5.00E-05,0.000250321,yes,2,1
Cst7,1.49527,38.3197,108.029,chr2:150570414-150578944,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.69302,5.00E-05,0.000250321,yes,2,2
AW112010,1.48425,26.0842,72.9762,chr19:11047611-11050566,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.11076,5.00E-05,0.000250321,yes,2,2
Engase,1.47529,4.33247,12.046,chr11:118476959-118489198,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.07908,5.00E-05,0.000250321,yes,1,1
Srm,1.47249,25.6842,71.2737,chr4:148591512-148594619,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.50781,5.00E-05,0.000250321,yes,2,2
Pla2g15,1.46871,22.6597,62.7163,chr8:106150398-106164715,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.4262,5.00E-05,0.000250321,yes,2,2
Fpgs,1.45956,4.46329,12.2751,chr2:32646594-32694175,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,2.82751,5.00E-05,0.000250321,yes,1,1
Odc1,1.45901,19.5679,53.7958,chr12:17544872-17551502,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.59448,5.00E-05,0.000250321,yes,2,2
March8,1.45057,6.12925,16.7522,chr6:116338021-116409541,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.32195,5.00E-05,0.000250321,yes,2,1
Ttll12,1.45057,4.86101,13.2859,chr15:83575093-83595157,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.13111,5.00E-05,0.000250321,yes,1,1
Pkp4,1.44822,4.0845,11.1455,chr2:59160849-59355205,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.07268,5.00E-05,0.000250321,yes,1,1
Mettl1,1.43688,4.95736,13.4213,chr10:127041931-127045461,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.73678,5.00E-05,0.000250321,yes,1,1
Cpox,1.43352,7.59597,20.517,chr16:58670207-58680389,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.25731,5.00E-05,0.000250321,yes,2,1
Ang,1.43335,4.12918,11.1518,chr14:51091076-51106151,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,1.69527,0.0036,0.0112565,yes,1,1
H2-Eb1,1.43291,312.922,844.863,chr17:34305866-34316674,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.27102,5.00E-05,0.000250321,yes,2,2
Itgax,1.42718,8.43227,22.676,chr7:128129567-128150657,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.44372,5.00E-05,0.000250321,yes,2,1
Wdr12,1.38677,5.67389,14.8368,chr1:60076867-60153953,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.29424,5.00E-05,0.000250321,yes,2,1
Slc19a1,1.38557,4.65132,12.1528,chr10:77032738-77050432,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.30218,5.00E-05,0.000250321,yes,1,1
Ftl1,1.38126,2194.76,5717.25,chr7:45457943-45459886,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,2.09167,0.00095,0.00356741,yes,2,2
Lgals3bp,1.38032,64.2808,167.34,chr11:118392751-118401931,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.81692,5.00E-05,0.000250321,yes,2,2
Rangrf,1.3787,4.90586,12.7569,chr11:68968130-68975185,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,2.78806,5.00E-05,0.000250321,yes,1,1
Serpine2,1.36373,7.8761,20.2691,chr1:79794320-79858665,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.60536,5.00E-05,0.000250321,yes,2,1
Ccnd2,1.36,9.60739,24.6608,chr6:127125708-127212419,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.25153,5.00E-05,0.000250321,yes,2,1
Nme4,1.35477,7.44605,19.0437,chr17:26091744-26095470,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.78789,5.00E-05,0.000250321,yes,2,1
Chchd6,1.34914,4.30998,10.9801,chr6:89383145-89595652,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.56369,5.00E-05,0.000250321,yes,1,1
Slc9a9,1.34804,11.4851,29.2371,chr9:94669891-95230452,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.98979,5.00E-05,0.000250321,yes,2,2
Tmem97,1.34712,12.8852,32.7804,chr11:78541816-78550735,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.69382,5.00E-05,0.000250321,yes,2,2
Kcnn4,1.33532,11.6246,29.3327,chr7:24370262-24385212,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.83956,5.00E-05,0.000250321,yes,2,2
Cmklr1,1.3349,6.78636,17.1192,chr5:113612354-113650390,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.70029,5.00E-05,0.000250321,yes,2,1
2810025M15Rik,1.33471,5.08884,12.8353,chr1:157135182-157420236,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.11173,5.00E-05,0.000250321,yes,2,1
Cd82,1.3281,54.1208,135.882,chr2:93419101-93469874,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.79904,5.00E-05,0.000250321,yes,2,2
Gnl3,1.32472,10.2667,25.7166,chr14:30999825-31019131,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,2.54896,0.0001,0.000477402,yes,2,2
Akr1b10,1.32424,10.4165,26.083,chr6:34384246-34396949,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.34751,5.00E-05,0.000250321,yes,2,2
Tma16,1.32324,5.81831,14.559,chr8:66476345-66486507,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.67829,5.00E-05,0.000250321,yes,2,1
Thop1,1.32275,5.88706,14.726,chr10:81070082-81082360,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.46762,5.00E-05,0.000250321,yes,2,1
Blvra,1.31984,22.5664,56.3343,chr2:127070656-127097084,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.79142,5.00E-05,0.000250321,yes,2,2
Jup,1.31657,11.4928,28.6253,chr11:100368855-100397790,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.78974,5.00E-05,0.000250321,yes,2,2
Impdh1,1.31584,27.7755,69.1463,chr6:29200436-29216364,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.04999,5.00E-05,0.000250321,yes,2,2
Retsat,1.31169,5.73608,14.2388,chr6:72598627-72607488,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.19372,5.00E-05,0.000250321,yes,2,1
Tmem86a,1.31132,17.2842,42.8939,chr7:47050639-47054776,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.76385,5.00E-05,0.000250321,yes,2,2
Calr,1.30085,379.108,934.026,chr8:84842087-84846931,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.5992,5.00E-05,0.000250321,yes,2,2
Tfec,1.29806,9.66206,23.7588,chr6:16833380-16898441,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.5116,5.00E-05,0.000250321,yes,2,1
Pccb,1.29611,7.78085,19.1072,chr9:100982037-101034875,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.52705,5.00E-05,0.000250321,yes,2,1
4931406C07Rik,1.29177,6.39862,15.6656,chr9:15283336-15357788,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,2.07989,0.0004,0.00168203,yes,2,1
Dpp7,1.28846,5.07625,12.3996,chr2:25352289-25356332,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.82457,5.00E-05,0.000250321,yes,2,1
Nt5dc2,1.28332,20.3857,49.6185,chr14:31134852-31168641,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.8666,5.00E-05,0.000250321,yes,2,2
Il21r,1.27521,6.1936,14.9906,chr7:125603428-125633570,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.30545,5.00E-05,0.000250321,yes,2,1
C1qbp,1.27386,42.5401,102.865,chr11:70970199-70983026,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.61475,5.00E-05,0.000250321,yes,2,2
Lipa,1.27261,48.6524,117.543,chr19:34492315-34527474,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.63116,5.00E-05,0.000250321,yes,2,2
Sec24d,1.27006,7.23898,17.4584,chr3:123267495-123365636,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.73872,5.00E-05,0.000250321,yes,2,1
Epx,1.26968,773.459,1864.87,chr11:87863997-87875536,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,2.25454,0.00035,0.00149163,yes,2,2
Slc11a2,1.26831,4.75152,11.4455,chr15:100387899-100423055,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.29625,5.00E-05,0.000250321,yes,1,1
Tmem141,1.26758,8.77182,21.1188,chr2:25620065-25622005,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.62952,5.00E-05,0.000250321,yes,2,1
Rgcc,1.26465,37.0981,89.1351,chr14:79288749-79301635,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.77672,5.00E-05,0.000250321,yes,2,2
Aldh18a1,1.25998,9.20231,22.0388,chr19:40550256-40588463,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.8089,5.00E-05,0.000250321,yes,2,1
Slc3a2,1.24846,33.9177,80.5846,chr19:8706881-8723369,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.75046,5.00E-05,0.000250321,yes,2,2
B4galt6,1.24375,13.4058,31.7468,chr18:20684598-20746404,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.82765,5.00E-05,0.000250321,yes,2,2
Mcfd2,1.24235,22.9106,54.2025,chr17:87254442-87265947,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.77487,5.00E-05,0.000250321,yes,2,2
Acsf2,1.24153,6.92935,16.3844,chr11:94557101-94601786,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.35721,5.00E-05,0.000250321,yes,2,1
Fabp5,1.23896,27.323,64.49,chr3:10012584-10016610,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.53049,5.00E-05,0.000250321,yes,2,2
Blnk,1.23701,8.63437,20.352,chr19:40928926-40994535,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.19073,5.00E-05,0.000250321,yes,2,1
Cyb5a,1.22318,51.5599,120.372,chr18:84851413-84879863,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.55024,5.00E-05,0.000250321,yes,2,2
Pigp,1.21513,5.84379,13.5671,chr16:94358762-94469221,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,1.55274,0.00985,0.0266531,yes,2,1
Dnase2a,1.21497,26.1869,60.789,chr8:84908623-84911461,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.60353,5.00E-05,0.000250321,yes,2,2
Slc7a5,1.21268,11.4387,26.5114,chr8:121881145-121907686,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.57545,5.00E-05,0.000250321,yes,2,2
Atad3a,1.21152,9.94181,23.0234,chr4:155740639-155761098,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.41352,5.00E-05,0.000250321,yes,2,1
Ctsl,1.20725,12.115,27.9733,chr13:64363213-64370306,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.27005,5.00E-05,0.000250321,yes,2,2
BC026585,1.20682,6.3299,14.6112,chr1:157458581-157488733,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.53594,5.00E-05,0.000250321,yes,2,1
Creg1,1.2031,104.177,239.851,chr1:165763779-165775304,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.99566,5.00E-05,0.000250321,yes,2,2
Ndfip1,1.19956,68.0725,156.342,chr18:38418974-38464406,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.43991,5.00E-05,0.000250321,yes,2,2
Tmem106c,1.19776,8.34323,19.138,chr15:97964228-97970286,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.89883,5.00E-05,0.000250321,yes,2,1
Gfi1,1.1946,15.6254,35.7635,chr5:107716654-107725805,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.56187,5.00E-05,0.000250321,yes,2,2
Pabpc4,1.19006,27.1654,61.9813,chr4:123282910-123298835,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.62471,5.00E-05,0.000250321,yes,2,2
Grwd1,1.18842,5.59693,12.7556,chr7:45825222-45830789,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.73534,5.00E-05,0.000250321,yes,2,1
Asns,1.18614,6.24931,14.2199,chr6:7675170-7693182,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.78817,5.00E-05,0.000250321,yes,2,1
Ptdss2,1.18478,4.73296,10.7594,chr7:141131285-141156154,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.69085,5.00E-05,0.000250321,yes,1,1
Nenf,1.18337,10.4835,23.8087,chr1:191306796-191318118,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.34832,5.00E-05,0.000250321,yes,2,2
Vpreb1,1.18017,5.0644,11.4761,chr16:16868400-16869255,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,2.89538,5.00E-05,0.000250321,yes,2,1
Cad,1.17899,11.6093,26.2857,chr5:31054779-31078479,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.478,5.00E-05,0.000250321,yes,2,2
Gatm,1.17855,35.3832,80.0897,chr2:122594472-122611277,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.54919,5.00E-05,0.000250321,yes,2,2
H2-Aa,1.17604,612.155,1383.2,chr17:34282750-34287771,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.39371,5.00E-05,0.000250321,yes,2,2
Hmbs,1.15985,24.9589,55.7669,chr9:44336347-44344228,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.46477,5.00E-05,0.000250321,yes,2,2
Mif,1.15713,84.6141,188.701,chr10:75859352-75860250,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.47354,5.00E-05,0.000250321,yes,2,2
Plekhm2,1.15545,10.5276,23.4505,chr4:141625733-141664115,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.35787,5.00E-05,0.000250321,yes,2,2
Rnase4,1.1524,19.1274,42.5169,chr14:51091076-51106151,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.83604,5.00E-05,0.000250321,yes,2,2
Fam162a,1.15018,13.999,31.0696,chr16:36043843-36071515,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.46485,5.00E-05,0.000250321,yes,2,2
Myb,1.14969,45.6427,101.265,chr10:21124929-21160984,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.24966,5.00E-05,0.000250321,yes,2,2
Mnd1,1.14893,4.60308,10.2073,chr3:84087933-84155786,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,2.87486,5.00E-05,0.000250321,yes,1,1
Bzw2,1.14743,17.3065,38.3373,chr12:36091834-36156825,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.35101,5.00E-05,0.000250321,yes,2,2
Gstm1,1.14738,95.5164,211.579,chr3:108012249-108017973,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.39857,5.00E-05,0.000250321,yes,2,2
Mrps28,1.14699,13.4055,29.6866,chr3:8802145-8923857,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.523,5.00E-05,0.000250321,yes,2,2
Rab20,1.1452,5.98797,13.244,chr8:11453976-11480241,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,2.6544,5.00E-05,0.000250321,yes,2,1
Heatr3,1.14469,6.95729,15.3825,chr8:88137884-88171943,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.12149,5.00E-05,0.000250321,yes,2,1
Sdc4,1.14133,5.52307,12.183,chr2:164424246-164443188,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.7001,5.00E-05,0.000250321,yes,2,1
Smyd2,1.13981,7.2005,15.8664,chr1:189880491-189922288,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.60467,5.00E-05,0.000250321,yes,2,1
P2rx4,1.13389,24.9191,54.6847,chr5:122707556-122729042,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.32491,5.00E-05,0.000250321,yes,2,2
Steap3,1.13072,8.04084,17.6069,chr1:120226415-120271082,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.0806,5.00E-05,0.000250321,yes,2,1
Sdf2l1,1.12947,51.0786,111.749,chr16:17130137-17132383,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.38854,5.00E-05,0.000250321,yes,2,2
Mrps6,1.12039,5.43799,11.8225,chr16:92058321-92112227,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,2.41715,0.0002,0.000900679,yes,2,1
Gclm,1.11195,16.3373,35.311,chr3:122245556-122267215,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.21544,5.00E-05,0.000250321,yes,2,2
Cbr1,1.10872,8.93285,19.2641,chr16:93607836-93610349,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.38064,5.00E-05,0.000250321,yes,2,1
Gpatch4,1.10725,6.00978,12.9472,chr3:88043105-88055994,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.41386,5.00E-05,0.000250321,yes,2,1
Lrp6,1.10344,5.66965,12.1822,chr6:134446477-134566913,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.1981,5.00E-05,0.000250321,yes,2,1
Cd14,1.10132,12.6351,27.1088,chr18:36725063-36726815,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.91351,5.00E-05,0.000250321,yes,2,2
H2-Ab1,1.09975,557.911,1195.7,chr17:34263226-34269418,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.18845,5.00E-05,0.000250321,yes,2,2
Tsr1,1.0992,6.31519,13.5294,chr11:74898079-74925798,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.3411,5.00E-05,0.000250321,yes,2,1
Abhd17c,1.09612,16.8078,35.9313,chr7:84109355-84151893,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.15311,5.00E-05,0.000250321,yes,2,2
Snx8,1.09488,7.93914,16.9576,chr5:140340302-140389247,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.87632,5.00E-05,0.000250321,yes,2,1
Hspd1,1.09135,58.4318,124.503,chr1:55077833-55087932,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.14441,5.00E-05,0.000250321,yes,2,2
Ipo4,1.08874,5.83897,12.4188,chr14:55625628-55635678,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.89625,5.00E-05,0.000250321,yes,2,1
